年份,行业代码,行业名称,变量,均值,样本量
2001,C,Manufacturing,SLoan,0.1627954035008354,555
2001,C,Manufacturing,LLoan,0.052544273248018115,555
2001,C,Manufacturing,Lev,0.4291580185315171,555
2001,C,Manufacturing,Cash,0.1837695832082465,555
2001,C,Manufacturing,ROA,0.025119882670620815,555
2001,C,Manufacturing,ROE,0.02347287657234498,555
2001,D,Utilities,SLoan,0.1303303420692797,66
2001,D,Utilities,LLoan,0.0763105659720752,66
2001,D,Utilities,Lev,0.3899686158519009,66
2001,D,Utilities,Cash,0.15042868066460546,66
2001,D,Utilities,ROA,0.0429038359394293,66
2001,D,Utilities,ROE,0.051413339381968716,66
2001,E,Construction,SLoan,0.1967823338773307,23
2001,E,Construction,LLoan,0.040980559811078295,23
2001,E,Construction,Lev,0.5174922873373803,23
2001,E,Construction,Cash,0.16386879574642066,23
2001,E,Construction,ROA,0.01957662634130097,23
2001,E,Construction,ROE,0.04131557206611144,23
2001,F,Wholesale/Retail,SLoan,0.1985435195158577,100
2001,F,Wholesale/Retail,LLoan,0.03432313839617452,100
2001,F,Wholesale/Retail,Lev,0.48053526535509206,100
2001,F,Wholesale/Retail,Cash,0.18314058940443906,100
2001,F,Wholesale/Retail,ROA,0.022334584034182807,100
2001,F,Wholesale/Retail,ROE,0.048416642385751434,100
2001,G,Transport,SLoan,0.10250083174674707,50
2001,G,Transport,LLoan,0.07061238865802107,50
2001,G,Transport,Lev,0.3453137701033892,50
2001,G,Transport,Cash,0.15935158962873708,50
2001,G,Transport,ROA,0.046115435213812964,50
2001,G,Transport,ROE,0.06264437168488905,50
2001,J,Finance,SLoan,0.15823557840737174,38
2001,J,Finance,LLoan,0.06258764613189453,35
2001,J,Finance,Lev,0.5216296622782238,41
2001,J,Finance,Cash,0.20027843735432138,38
2001,J,Finance,ROA,-0.0002591601795607697,41
2001,J,Finance,ROE,-0.03515016346545947,41
2001,K,Real Estate,SLoan,0.21562800901550735,95
2001,K,Real Estate,LLoan,0.041461264687718664,95
2001,K,Real Estate,Lev,0.4972425229466745,95
2001,K,Real Estate,Cash,0.15408878339450116,95
2001,K,Real Estate,ROA,0.012560730465148636,95
2001,K,Real Estate,ROE,0.0006792902513561199,95
2003,C,Manufacturing,SLoan,0.17685019564456023,633
2003,C,Manufacturing,LLoan,0.052673259592401225,633
2003,C,Manufacturing,Lev,0.46763382470790515,633
2003,C,Manufacturing,Cash,0.1638366116619454,633
2003,C,Manufacturing,ROA,0.026424827749289254,633
2003,C,Manufacturing,ROE,0.03837302870477585,633
2003,D,Utilities,SLoan,0.1553021146967208,71
2003,D,Utilities,LLoan,0.10869123540792958,71
2003,D,Utilities,Lev,0.4545757443327039,71
2003,D,Utilities,Cash,0.1317195876377007,71
2003,D,Utilities,ROA,0.033738631917311836,71
2003,D,Utilities,ROE,0.04551613433464373,71
2003,E,Construction,SLoan,0.18643008633807284,25
2003,E,Construction,LLoan,0.05023466984072789,25
2003,E,Construction,Lev,0.5635135197862225,25
2003,E,Construction,Cash,0.15928279094414288,25
2003,E,Construction,ROA,0.0044034095174926525,25
2003,E,Construction,ROE,-0.017331408623695203,25
2003,F,Wholesale/Retail,SLoan,0.21360356914986445,104
2003,F,Wholesale/Retail,LLoan,0.035639163056627225,104
2003,F,Wholesale/Retail,Lev,0.536653617044592,104
2003,F,Wholesale/Retail,Cash,0.17849331263625792,104
2003,F,Wholesale/Retail,ROA,0.016744713152632148,104
2003,F,Wholesale/Retail,ROE,0.027290174747446296,104
2003,G,Transport,SLoan,0.11507237865551011,56
2003,G,Transport,LLoan,0.06155403553705715,56
2003,G,Transport,Lev,0.330396479362775,56
2003,G,Transport,Cash,0.16187701944527433,56
2003,G,Transport,ROA,0.04794302160099429,56
2003,G,Transport,ROE,0.038858794921986135,56
2003,J,Finance,SLoan,0.16214595466345677,37
2003,J,Finance,LLoan,0.060249615416593696,33
2003,J,Finance,Lev,0.5513163402484997,44
2003,J,Finance,Cash,0.16508101098085035,39
2003,J,Finance,ROA,0.015292957730056116,44
2003,J,Finance,ROE,0.03901737901295484,44
2003,K,Real Estate,SLoan,0.1996844367509619,100
2003,K,Real Estate,LLoan,0.06213359660144402,100
2003,K,Real Estate,Lev,0.54266673880282,100
2003,K,Real Estate,Cash,0.13916752490139497,100
2003,K,Real Estate,ROA,0.015336451349695976,100
2003,K,Real Estate,ROE,0.02964640221394182,100
2005,C,Manufacturing,SLoan,0.1817685529931786,685
2005,C,Manufacturing,LLoan,0.04898348057069969,685
2005,C,Manufacturing,Lev,0.5021889386230163,685
2005,C,Manufacturing,Cash,0.14745051989525826,685
