variable,orig_mean,orig_std,orig_min,orig_max,win_mean,win_std,win_min,win_max
Lev,0.438254,0.213662,0.001725,1.049286,0.438164,0.212763,0.027661,0.959024
SL,0.348185,0.18355,0.0,0.998558,0.347729,0.181722,0.0,0.888849
LL,0.083761,0.102992,-0.093339,0.85454,0.082981,0.09955,-0.019758,0.520238
SDR,0.821114,0.184202,0.0,1.295265,0.821669,0.182248,0.0,1.049858
Cash,0.186818,0.141654,0.0,1.0,0.186042,0.138507,0.000879,0.846523
ROA,0.033395,0.179678,-14.301748,22.005117,0.033022,0.06991,-0.544437,0.259692
ROE,0.029349,4.496461,-207.397068,713.203598,0.038887,0.217907,-2.744641,0.776529
SLoan,0.111759,0.109988,0.0,0.823878,0.110996,0.107189,0.0,0.533528
LLoan,0.062121,0.087264,0.0,0.84597,0.061357,0.083737,0.0,0.462339
HHI5,0.163198,0.120561,1.5e-05,0.8099,0.162489,0.117645,0.011008,0.615542
